"Наименование","Цена","Ссылка"
"5 ounces of Original Haze","465 USD = 0.06471 ฿","http://42xvacaxk2ymiqin.onioncart.php"
"5 ounces of OG Kush","475 USD = 0.06610 ฿","http://42xvacaxk2ymiqin.onioncart.php"
"1 ounce of OG Kush","135 USD = 0.01879 ฿","http://42xvacaxk2ymiqin.onioncart.php"
"1 ounce of Original Haze","130 USD = 0.01809 ฿","http://42xvacaxk2ymiqin.onioncart.php"
"White Widow Cannabis","$7/Gram | in BTC","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onioncontact-us.html"
"Orange IPhone Ecstasy","$2/Piece | in BTC","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onioncontact-us.html"
"Orange IPhone Ecstasy","$2/Piece | in BTC","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onion#navindex.htmlindex.htmlindex.htmlcontact-us.html"
"White Widow Cannabis","$7/Gram | in BTC","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onion#navindex.htmlcontact-us.html"
"White Widow Cannabis","$7/Gram | in BTC","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onion#navindex.htmlindex.htmlindex.htmlcontact-us.html"
"Orange IPhone Ecstasy","$2/Piece | in BTC","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onion#navindex.htmlcontact-us.html"
"White Widow Cannabis","$52/Gram | in BTC","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onion#navindex.htmlindex.htmlindex.htmlcontact-us.html"
"Orange IPhone Ecstasy","$2/Piece | in BTC","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onion#navcontact-us.html"
"Orange IPhone Ecstasy","$2/Piece | in BTC","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onion#navindex.htmlindex.htmlcontact-us.html"
"White Widow Cannabis","$7/Gram | in BTC","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onion#navindex.htmlindex.htmlcontact-us.html"
"White Widow Cannabis","$7/Gram | in BTC","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onion#navcontact-us.html"
"White Widow Cannabis","$52/Gram | in BTC","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onion#navindex.htmlcontact-us.html"
"White Widow Cannabis","$52/Gram | in BTC","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onion#navcontact-us.html"
"White Widow Cannabis","$52/Gram | in BTC","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onion#navindex.htmlindex.htmlcontact-us.html"
"White Widow Cannabis","$52/Gram | in BTC","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onioncontact-us.html"
"25x Hofmann LSD - 180ug","Price: 75.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/listing/519b6b2f-4c4b-463d-88a7-1ccd4bfdbaca"
"2g MDMA - Champagne - 88%","Price: 15.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/listing/acf884ba-1f6f-496c-bdd9-fc6035d14ee7"
