picture_count,valute_sign_count,buttons_count,symb_numb,com_words_part,class
24,0,0,3891,0.011308147,0
40,2,1,215283,0.02284435,0
2,8,2,1110,0.034234233,1
1,2,0,9266,0.020828838,0
2,4,2,929,0.036598492,1
2,0,0,828,0.031400967,0
2,32,12,2369,0.031236809,1
33,0,0,188670,0.02204378,0
14,7,2,804,0.03233831,1
12,0,0,42735,0.01872002,0
12,19,4,2787,0.036239684,1
4,28,14,1125,0.043555554,1
1,2,1,13216,0.018992132,0
19,22,2,1575,0.036825396,1
144,26,5,13503,0.029697103,1
1,0,0,16,0,0
7,6,0,458,0.08078603,1
1,0,2,5702,0.0191161,0
26,0,1,6721,0.022466894,0
2,22,1,3978,0.0115636,0
1,0,2,936,0.011752137,0
7,0,0,1401,0.019985724,0
25,0,1,3158,0.016149461,0
17,0,0,2914,0.020247083,0
2,7,7,376,0.069148935,1
1,0,1,5453,0.008619109,0
6,8,0,2431,0.033730976,1
14,14,1,1764,0.054421768,1
7,0,1,4851,0.015873017,0
0,4,0,17186,0.021994647,0
0,0,0,535,0.001869159,0
2,0,0,1003,0.015952144,0
2,4,2,930,0.03655914,1
4,27,27,1224,0.057189543,1
10,25,25,4492,0.048085485,1
0,0,0,121957,0.013193174,0
6,0,2,936,0.016025642,0
3,8,4,640,0.0578125,1
1,0,0,903,0.009966778,0
0,0,0,9371,0.014619571,0
2,16,8,911,0.037321623,1
0,0,0,4280,0.014252337,0
2,46,23,1099,0.03275705,1
3,12,6,651,0.038402457,1
32,40,1,1678,0.03933254,1
6,0,1,3226,0.014879108,0
4,0,0,1035,0.009661836,0
2,0,1,1403,0.018531717,0
49,84,0,10707,0.046885215,1
7,0,2,3386,0.012994684,0
5,5,0,2646,0.025699168,0
1,0,0,630,0.014285714,0
1,0,1,1800,0.02111111,0
57,61,1,6119,0.06340905,1
3,5,0,2284,0.036777582,1
88,1,1,9744,0.010160099,0
4,2,0,997,0.045135405,0
1,0,0,10387,0.008664677,0
0,1,3,25383,0.017058661,0
5,9,1,1596,0.04511278,1
2,0,1,2270,0.018502202,0
23,38,0,3051,0.055063915,1
113,0,12,3152,0.019352792,0
1,0,1,7631,0.018870397,0
0,0,0,726,0.0261708,0
3,0,1,8594,0.010239702,0
2,8,4,427,0.032786883,1
1,76,38,9787,0.025952794,1
9,31,0,12087,0.04045669,1
3,0,1,2721,0.023520764,0
2,11,1,52869,0.0215249,0
0,0,0,2632,0.016717326,0
23,36,0,3006,0.05455755,1
78,150,0,5149,0.048358906,1
1,0,1,3191,0.017235976,0
0,0,0,1750,0.007428572,0
0,0,0,191,0.010471204,0
0,0,0,815,0.04417178,0
0,0,0,1415,0.0204947,0
0,0,0,4715,0.014422057,0
0,0,0,18139,0.018689012,0
12,0,1,15706,0.000573029,0
