"Наименование","Цена","Валюта","Количество_товара","Ссылка"
"5 ounces of Original Haze","465 USD = 0.06471 ฿","USD","5 ounces","http://42xvacaxk2ymiqin.onioncart.php"
"5 ounces of OG Kush","475 USD = 0.06610 ฿","USD","5 ounces","http://42xvacaxk2ymiqin.onioncart.php"
"1 ounce of OG Kush","135 USD = 0.01879 ฿","USD","1 ounce","http://42xvacaxk2ymiqin.onioncart.php"
"1 ounce of Original Haze","130 USD = 0.01809 ฿","USD","1 ounce","http://42xvacaxk2ymiqin.onioncart.php"
"White Widow Cannabis","$7/Gram | in BTC","$","NaN","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onioncontact-us.html"
"Orange IPhone Ecstasy","$2/Piece | in BTC","$","NaN","http://ckaxksssntimhfvtjuyhinzxyfsetvntjba4nvlyzb56oqo6sfa7ygad.onioncontact-us.html"
"25x Hofmann LSD - 180ug","Price: 75.00 EUR","EUR","25x 180ug","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/listing/519b6b2f-4c4b-463d-88a7-1ccd4bfdbaca"
"2g MDMA - Champagne - 88%","Price: 15.00 EUR","EUR","2g","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/listing/acf884ba-1f6f-496c-bdd9-fc6035d14ee7"
"10g Speed paste - 74%","Price: 25.00 EUR","EUR","10g","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/listing/cd6b23e7-06a9-44ce-9348-d40e83b941c0"
"10x Hofmann LSD - 180ug","Price: 32.50 EUR","EUR","10x 180ug","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/home/warning/dismiss/listing/20e977bc-7f91-4920-a207-75fe4fa62046"
"1g Ketamine R - 97%","Price: 23.00 EUR","EUR","1g","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/home/warning/dismiss/listing/42f95eb2-e975-4477-a522-97a1562b4489"
"1g Cocaine Peruvian - 88%","Price: 65.00 EUR","EUR","1g","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/home/warning/dismiss/listing/98a38a38-7a8f-40c4-9664-8b4a21c7c8b1"
"5g Amnesia Haze - 23% THC","Price: 50.00 EUR","EUR","5g","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/listing/298fe8f6-5091-44eb-a3b3-af71d6e0be26"
"5g MDMA - Champagne - 88%","Price: 25.00 EUR","EUR","5g","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/listing/3fd09140-2298-4cd8-99d4-48582ea744f4"
"5g Speed paste - 74%","Price: 15.00 EUR","EUR","5g","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/listing/57dd60c5-9850-4e5e-b2d5-0f74de53bd42"
"7g Organic White Russian","80 EUR = 0.012 ฿","EUR","7g","http://eucannaaasck7uzd.onioncart.php"
"7g Organic Chronic","80 EUR = 0.012 ฿","EUR","7g","http://eucannaaasck7uzd.onioncart.php"
"14g Organic White Russian","147.5 EUR = 0.022 ฿","EUR","14g","http://eucannaaasck7uzd.onion?cat=100index.phpcart.php"
"3.5g Organic White Russian","42 EUR = 0.006 ฿","EUR","3.5g","http://eucannaaasck7uzd.onion?cat=100index.phpindex.phpcart.php"
"14g Organic Chronic","147.5 EUR = 0.022 ฿","EUR","14g","http://eucannaaasck7uzd.onion?cat=100cart.php"
"3.5g Organic Chronic","42 EUR = 0.006 ฿","EUR","3.5g","http://eucannaaasck7uzd.onion?cat=100index.phpindex.phpcart.php"
"10x Vials HASH OIL (7.0g)","฿0.0251","฿","7.0g","http://drugstom3mhpiaud.onion/l/login.php"
"FULL WEIGHED GRAM COCAINE (1.0g)","฿0.0182","฿","1.0g","http://drugstom3mhpiaud.onion/l/login.php"
"Full Gram Crack Cocaine (1.0g)","฿0.0209","฿","1.0g","http://drugstom3mhpiaud.onion/l/login.php"
"5x Ice Speed Pills","฿0.0209","฿","5x","http://drugstom3mhpiaud.onion/l/login.php"
"1x Ice Speed Pill","฿0.0063","฿","1x","http://drugstom3mhpiaud.onion/l/login.php"
"MDMA Crystals 84%+ UNCUT- Half Ounce (14.0g)","฿0.0447","฿","14.0g","http://drugstom3mhpiaud.onion/l/login.php"
"Concerta (Methylphenidate) 54mg","฿0.0098","฿","54mg","http://drugstom3mhpiaud.onion/l/login.php"
"2xFULL GRAMS COCAINE","฿0.0293","฿","2x","http://drugstom3mhpiaud.onion/l/login.php"
"1x Vial HASH OIL (0.7g)","฿0.0070","฿","0.7g","http://drugstom3mhpiaud.onion/l/login.php"
"MDMA Crystals 84%+ UNCUT- 3.5 Grams (3.5g)","฿0.0154","฿","3.5g","http://drugstom3mhpiaud.onion/l/login.php"
"MDMA Crystals 84%+ UNCUT- Full Ounce (28.0g)","฿0.0810","฿","28.0g","http://drugstom3mhpiaud.onion/l/login.php"
"2x Ice Speed Pills","฿0.0080","฿","2x","http://drugstom3mhpiaud.onion/l/login.php"
"Concerta (Methylphenidate) 18mg","฿0.0063","฿","18mg","http://drugstom3mhpiaud.onion/l/login.php"
"2X Vials HASH OIL","฿0.0091","฿","2X","http://drugstom3mhpiaud.onion/l/login.php"
"Methaqualone Powder (Quaaludes) 1 Gram","฿0.0105","฿","1 Gram","http://drugstom3mhpiaud.onion/l/login.php"
"QUARTER OZ COCAINE (7.0g)","฿0.0740","฿","7.0g","http://drugstom3mhpiaud.onion/l/login.php"
"50g Organic Chronic","295 EUR","EUR","50g","http://4mfvsw6egw7ayj26.onioncart.php"
"50g Organic White Russian","295 EUR","EUR","50g","http://4mfvsw6egw7ayj26.onioncart.php"
"100g Marocc Hash","350 EUR = 0.05269 ฿","EUR","100g","http://kbvbh4kdddiha2ht.onioncart.php"
"500g Marocc Hash","1500 EUR = 0.22581 ฿","EUR","500g","http://kbvbh4kdddiha2ht.onioncart.php"
"50g Marocc Hash","200 EUR = 0.03011 ฿","EUR","50g","http://kbvbh4kdddiha2ht.onioncart.php"
"Cocaine HQ | Deluxe Edition","
$109 – $189

 
","$","NaN","http://6qdvcew6jhxifqge.onion/product/cocaine-hq-deluxe-edition/"
"TOP CUBE | MDMA Pills 250mg | Deluxe Edition","
$29 – $109

 
","$","250mg","http://6qdvcew6jhxifqge.onion/product/top-cube-mdma-pills-250mg-deluxe-edition/"
"Cocaine VHQ | Deluxe Edition","
$141 – $249

 
","$","NaN","http://6qdvcew6jhxifqge.onion/product/cocaine-vhq-deluxe-edition/"
"Cocaine HQ 90-95%","
$139 – $263

 
","$","NaN","http://6qdvcew6jhxifqge.onion/product/cocaine-hq-90-95/"
"TOP CUBE Ecstasy – MotormasteR","
$119 – $3,399

 
","$","NaN","http://6qdvcew6jhxifqge.onion/product/top-cube-ecstasy-motormaster/"
"MDMA | Deluxe Edition","
$59 – $199

 
","$","NaN","http://6qdvcew6jhxifqge.onion/product/mdma-deluxe-edition/"
"Blue Bitcoin | MDMA Pills 250mg | Deluxe Edition","
$31 – $115

 
","$","250mg","http://6qdvcew6jhxifqge.onion/product/blue-bitcoin-mdma-pills-250mg-deluxe-edition/"
"Cocaine VHQ 95-98%","
$155 – $287

 
","$","NaN","http://6qdvcew6jhxifqge.onion/product/cocaine-vhq-95-98/"
