Name,Price,URL
Afghan Kush - Cannabis 50g,$ 90.00,http://wzvsz3g6dodj2fyh.onion//product/71
Afghan Kush - Cannabis 100g,$ 159.00,http://wzvsz3g6dodj2fyh.onion//product/72
Alaskan Thunder Fuck- Cannabis 50g,$ 199.00,http://wzvsz3g6dodj2fyh.onion//product/74
Alaskan Thunder Fuck- Cannabis 100g,$ 349.00,http://wzvsz3g6dodj2fyh.onion//product/75
Asteroid OG - Cannabis 20g,$ 90.00,http://wzvsz3g6dodj2fyh.onion//product/77
Black Label Kush - Cannabis 20g,$ 79.00,http://wzvsz3g6dodj2fyh.onion//product/78
Double Gum X20 - Seeds Cannabis,$ 14.00,http://wzvsz3g6dodj2fyh.onion//product/91
Feminized Mix X20 - Seeds Cannabis,$ 14.00,http://wzvsz3g6dodj2fyh.onion//product/93
Northern Lights Automatic X20 - Seeds Cannabis,$ 14.00,http://wzvsz3g6dodj2fyh.onion//product/94
Mexican Sativa® X20 - Seeds Cannabis,$ 14.00,http://wzvsz3g6dodj2fyh.onion//product/95
Master Kush Feminized X20 - Seeds Cannabis,$ 14.00,http://wzvsz3g6dodj2fyh.onion//product/96
Shiva Shanti II® X20 - Seeds Cannabis,$ 14.00,http://wzvsz3g6dodj2fyh.onion//product/97
Pure Skinny FishScale Cocaine 1g,$ 89.00,http://wzvsz3g6dodj2fyh.onion//product/104
High Grade Cocaine 91% Pure 1g,$ 29.00,http://wzvsz3g6dodj2fyh.onion//product/105
Columbia Cocaine 1g,$ 69.00,http://wzvsz3g6dodj2fyh.onion//product/106
Synthetic Coke 1g,$ 33.00,http://wzvsz3g6dodj2fyh.onion//product/107
High Quality Cocaine 1g,$ 169.00,http://wzvsz3g6dodj2fyh.onion//product/108
Pure Fish Scale Cocaine 1g,$ 399.00,http://wzvsz3g6dodj2fyh.onion//product/109
10 X Gold Bar 260mg - Ecstasy,$ 20.00,http://wzvsz3g6dodj2fyh.onion//product/110
10 X F.C. - Ecstasy ,$ 59.00,http://wzvsz3g6dodj2fyh.onion//product/111
10 X 250mg BATMAN XTC Pills - Ecstasy,$ 19.00,http://wzvsz3g6dodj2fyh.onion//product/112
100XTC PILLS Dolphins 180mg - Ecstasy,$ 119.00,http://wzvsz3g6dodj2fyh.onion//product/113
100 Pills Ecstasy Blue Android 200/220mg,$ 99.00,http://wzvsz3g6dodj2fyh.onion//product/114
XTC pills mix 20 - SAMPLE PACK 30$,$ 29.00,http://wzvsz3g6dodj2fyh.onion//product/115
100 Tabs LSD ,$ 299.00,http://wzvsz3g6dodj2fyh.onion//product/119
30 Tabs LSD 200ug,$ 99.00,http://wzvsz3g6dodj2fyh.onion//product/120
120 Tab LSD 200UG,$ 309.00,http://wzvsz3g6dodj2fyh.onion//product/121
x10 LSD (Acid / LSD Tabs) 250ug ,$ 39.00,http://wzvsz3g6dodj2fyh.onion//product/123
60 Tabs LSD Blostters (200ug),$ 179.00,http://wzvsz3g6dodj2fyh.onion//product/124
50 Gram Crystal Meth,$ 399.00,http://wzvsz3g6dodj2fyh.onion//product/125
5 Gram CRYSTAL METHS PURE,$ 59.00,http://wzvsz3g6dodj2fyh.onion//product/126
5 Gram Crystal Meth HQ CRYSTAL,$ 49.00,http://wzvsz3g6dodj2fyh.onion//product/127
100gram Pure Methylone Crystals,$ 649.00,http://wzvsz3g6dodj2fyh.onion//product/128
1 gram Potassium Cyanide,$ 9.00,http://wzvsz3g6dodj2fyh.onion//product/129
30 Gram CRYSTAL METH/ SPEED ,$ 299.00,http://wzvsz3g6dodj2fyh.onion//product/130
"SIG Sauer P226 AL SO DAO, Kal. 9mmP",$630.00,http://f6pxr3iqw7iziuc2.onion/?product=sig-sauer-p226-al-so-dao-kal-9mmp
Kel-Tec PF-9 9mm Compact Black,$195.00,http://f6pxr3iqw7iziuc2.onion/?product=kel-tec-pf-9-9mm-compact-black
9mm Ammo Brown Bear Luger 115gr FMJ Steel,$148.00,http://f6pxr3iqw7iziuc2.onion/?product=9mm-ammo-115gr-fmj-50-per-box
Glock 19 Gen 3,$395.00,http://f6pxr3iqw7iziuc2.onion/?product=glock-19-gen-3
Winchester Lake City 5.56 NATO Ammo 1000,$178.00,http://f6pxr3iqw7iziuc2.onion/?product=223-remington-5-56-10-boxes-of-20-200-rnds
7.62×39  Golden Bear – 1000 Rounds,$192.72,http://f6pxr3iqw7iziuc2.onion/?product=7-62x39-10-boxes-of-20-200-rnds
Heckler & Koch MP5 A5 .22LR,$340.00,http://f6pxr3iqw7iziuc2.onion/?product=heckler-koch-mp5-a5-22lr
Century Zastava N-PAP M70 AK-47,$480.00,http://f6pxr3iqw7iziuc2.onion/?product=century-zastava-n-pap-m70-ak-47
"ammo SIG Sauer P226 AL SO DAO, Kal. 9mmP(100 per box)",$144.00,http://f6pxr3iqw7iziuc2.onion/?product=ammo-sig-sauer-p226-al-so-dao-kal-9mmp50-per-box
Winchester 5.56 NATO Ammunition 900 Rounds,$159.00,http://f6pxr3iqw7iziuc2.onion/?product=22lr-remington-10-boxes-of-50-500-rnds
.380 ACP Ammunition 95 Grain FMJ 980 fps,$149.00,http://f6pxr3iqw7iziuc2.onion/?product=380-acp-fmj-50-per-box
Hi Point .40 S&W Carbine w/ 3 Mags,$210.00,http://f6pxr3iqw7iziuc2.onion/?product=hi-point-40-sw-carbine-w-3-mags
"Walther PPK, Kal.7,65",$490.00,http://f6pxr3iqw7iziuc2.onion/?product=walther-ppk-kal-765
Fiocchi .308 Win Ammunition 180 Grain Hornady,$205.00,http://f6pxr3iqw7iziuc2.onion/?product=308-win-7-62x51-5-boxes-of-20-100-rnds
40 S&W Ammunition 800 Rounds Two Ammo Cans,$139.00,http://f6pxr3iqw7iziuc2.onion/?product=40-sw-fmj-50-per-box
"SIG Sauer P226 AL SO DAO, Kal. 9mmP",$630.00,http://f6pxr3iqw7iziuc2.onion/?product=sig-sauer-p226-al-so-dao-kal-9mmp
Kel-Tec PF-9 9mm Compact Black,$195.00,http://f6pxr3iqw7iziuc2.onion/?product=kel-tec-pf-9-9mm-compact-black
9mm Ammo Brown Bear Luger 115gr FMJ Steel,$148.00,http://f6pxr3iqw7iziuc2.onion/?product=9mm-ammo-115gr-fmj-50-per-box
Glock 19 Gen 3,$395.00,http://f6pxr3iqw7iziuc2.onion/?product=glock-19-gen-3
Winchester Lake City 5.56 NATO Ammo 1000,$178.00,http://f6pxr3iqw7iziuc2.onion/?product=223-remington-5-56-10-boxes-of-20-200-rnds
7.62×39  Golden Bear – 1000 Rounds,$192.72,http://f6pxr3iqw7iziuc2.onion/?product=7-62x39-10-boxes-of-20-200-rnds
Heckler & Koch MP5 A5 .22LR,$340.00,http://f6pxr3iqw7iziuc2.onion/?product=heckler-koch-mp5-a5-22lr
Century Zastava N-PAP M70 AK-47,$480.00,http://f6pxr3iqw7iziuc2.onion/?product=century-zastava-n-pap-m70-ak-47
"ammo SIG Sauer P226 AL SO DAO, Kal. 9mmP(100 per box)",$144.00,http://f6pxr3iqw7iziuc2.onion/?product=ammo-sig-sauer-p226-al-so-dao-kal-9mmp50-per-box
Winchester 5.56 NATO Ammunition 900 Rounds,$159.00,http://f6pxr3iqw7iziuc2.onion/?product=22lr-remington-10-boxes-of-50-500-rnds
.380 ACP Ammunition 95 Grain FMJ 980 fps,$149.00,http://f6pxr3iqw7iziuc2.onion/?product=380-acp-fmj-50-per-box
Hi Point .40 S&W Carbine w/ 3 Mags,$210.00,http://f6pxr3iqw7iziuc2.onion/?product=hi-point-40-sw-carbine-w-3-mags
"Walther PPK, Kal.7,65",$490.00,http://f6pxr3iqw7iziuc2.onion/?product=walther-ppk-kal-765
Fiocchi .308 Win Ammunition 180 Grain Hornady,$205.00,http://f6pxr3iqw7iziuc2.onion/?product=308-win-7-62x51-5-boxes-of-20-100-rnds
40 S&W Ammunition 800 Rounds Two Ammo Cans,$139.00,http://f6pxr3iqw7iziuc2.onion/?product=40-sw-fmj-50-per-box
Colt Mustang Pocketlite .380,$460.00,http://f6pxr3iqw7iziuc2.onion/?product=colt-mustang-pocketlite-380
CZ P-07 Duty 9mm,$385.00,http://f6pxr3iqw7iziuc2.onion/?product=cz-p-07-duty-9mm
"Desert Eagle IMI, Kal.44",$950.00,http://f6pxr3iqw7iziuc2.onion/?product=desert-eagle-imi-kal-44
Kel-Tec CP33™,$325.00,http://f6pxr3iqw7iziuc2.onion/?product=kel-tec-cp33
"ammo Walther PPK, Kal.7,65(2×100 per box=200)",$156.00,http://f6pxr3iqw7iziuc2.onion/?product=ammo-walther-ppk-kal-76550-per-box
12 Gauge 00 Buckshot (40 Boxes of 5 = 200 rnds),$156.00,http://f6pxr3iqw7iziuc2.onion/?product=12-gauge-00-buckshot-10-boxes-of-5-50-rnds
IWI Uzi SMG .22 LR Walther,$390.00,http://f6pxr3iqw7iziuc2.onion/?product=iwi-uzi-smg-22-lr-walther
Ak 47 (7.62×39),Sale!,http://f6pxr3iqw7iziuc2.onion/?product=ak-47-7-62x39
Glock G17 Gen5,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=glock-g17-gen5
Glock 19X American Flag,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=glock-19x-american-flag
Glock 43X 9mm,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=glock-43x-9mm
9mm – 115 Grain FMJ – Tula – 1000 Rounds,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=9mm-115-grain-fmj-tula-1000-rounds
308 – 150 Grain FMJ – Tula – 500 Rounds,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=308-150-grain-fmj-tula-500-rounds
5.56 NATO 55 GR FMJ 1000 Round Case,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=5-56-nato-55-gr-fmj-1000-round-case
Springfield Saint,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=springfield-saint
Ruger Precision,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=ruger-precision
Ruger AR556,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=ruger-ar556
Ruger 10/22,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=ruger-10-22
Rossi Circuit Judge,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=rossi-circuit-judge
Kel-Tec Sub-2000,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=kel-tec-sub-2000
Diamondback Firearms DB15,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=diamondback-firearms-db15
Colt AR15,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=colt-ar15
Kimber Micro 9,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=kimber-micro-9
CZ-USA CZ 75,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=cz-usa-cz-75
Beretta 92A1,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=beretta-92a1
Sig Sauer P320,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=sig-sauer-p320
Taurus PT92 AF,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=taurus-pt92-af
CZ-75B 9mm,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=cz-75b-9mm
HK USP .45,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=hk-usp-45
AK-47/Kalashnikov Full Auto,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=ak-47-kalashnikov-full-auto
Glock 26 Gen 4,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=glock-26-gen-4
CZ Scorpion Evo 3 S1,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=cz-scorpion-evo-3-s1
