"Номер","Наименование","Цена","Ссылка"
1,"1g Mescaline HCL pure","0.0134 ฿","http://brmagic7souidyxq.onion//l/login.php"
2,"50 Hits LSD - 150ug","0.0443 ฿","http://brmagic7souidyxq.onion//l/login.php"
3,"10g DMT Freebase","0.0886 ฿","http://brmagic7souidyxq.onion//l/login.php"
4,"1g DMT Freebase","0.0112 ฿","http://brmagic7souidyxq.onion//l/login.php"
5,"10 Hits LSD - 150ug","0.0112 ฿","http://brmagic7souidyxq.onion//l/login.php"
6,"10g Mescaline HCL pure","0.0941 ฿","http://brmagic7souidyxq.onion//l/login.php"
7,"100 Hits LSD - 150ug","0.0722 ฿","http://brmagic7souidyxq.onion//l/login.php"
8,"Concerta (Methylphenidate) 54mg","฿0.0102","http://drugstom3mhpiaud.onion//l/login.php"
9,"2xFULL GRAMS COCAINE","฿0.0307","http://drugstom3mhpiaud.onion//l/login.php"
10,"Concerta (Methylphenidate) 18mg","฿0.0066","http://drugstom3mhpiaud.onion//l/login.php"
11,"MDMA Crystals 84%+ UNCUT- Full Ounce (28.0g)","฿0.0847","http://drugstom3mhpiaud.onion//l/login.php"
12,"10x Vials HASH OIL (7.0g)","฿0.0263","http://drugstom3mhpiaud.onion//l/login.php"
13,"2X Vials HASH OIL","฿0.0095","http://drugstom3mhpiaud.onion//l/login.php"
14,"1x Ice Speed Pill","฿0.0066","http://drugstom3mhpiaud.onion//l/login.php"
15,"5x Ice Speed Pills","฿0.0219","http://drugstom3mhpiaud.onion//l/login.php"
16,"MDMA Crystals 84%+ UNCUT- Full Ounce (28.0g)","฿0.0846","http://drugstom3mhpiaud.onion//l/login.php"
17,"QUARTER OZ COCAINE (7.0g)","฿0.0773","http://drugstom3mhpiaud.onion//l/login.php"
18,"MDMA Crystals 84%+ UNCUT- 3.5 Grams (3.5g)","฿0.0161","http://drugstom3mhpiaud.onion//l/login.php"
19,"Full Gram Crack Cocaine (1.0g)","฿0.0219","http://drugstom3mhpiaud.onion//l/login.php"
20,"Methaqualone Powder (Quaaludes) 1 Gram","฿0.0109","http://drugstom3mhpiaud.onion//l/login.php"
21,"MDMA Crystals 84%+ UNCUT- 3.5 Grams (3.5g)","฿0.0160","http://drugstom3mhpiaud.onion//l/login.php"
22,"FULL WEIGHED GRAM COCAINE (1.0g)","฿0.0190","http://drugstom3mhpiaud.onion//l/login.php"
23,"1x Vial HASH OIL (0.7g)","฿0.0073","http://drugstom3mhpiaud.onion//l/login.php"
24,"MDMA Crystals 84%+ UNCUT- Half Ounce (14.0g)","฿0.0467","http://drugstom3mhpiaud.onion//l/login.php"
25,"2x Ice Speed Pills","฿0.0083","http://drugstom3mhpiaud.onion//l/login.php"
26,"QUARTER OZ COCAINE (7.0g)","฿0.0774","http://drugstom3mhpiaud.onion//l/login.php"
27,"2xFULL GRAMS COCAINE","฿0.0306","http://drugstom3mhpiaud.onion//l/login.php"
28,"Northern Lights Automatic X20 - Seeds Cannabis","$ 14.00","http://wzvsz3g6dodj2fyh.onion/product/94"
29,"Pure Love - Cannabis 20g","$ 39.00","http://wzvsz3g6dodj2fyh.onion/product/88"
30,"Pure Skinny FishScale Cocaine 1g","$ 89.00","http://wzvsz3g6dodj2fyh.onion/product/104"
31,"100 Pills Ecstasy Blue Android 200/220mg","$ 99.00","http://wzvsz3g6dodj2fyh.onion/product/114"
32,"XTC pills mix 20 - SAMPLE PACK 30$","$ 29.00","http://wzvsz3g6dodj2fyh.onion/product/115"
33,"30 Tabs LSD 200ug","$ 99.00","http://wzvsz3g6dodj2fyh.onion/product/120"
34,"60 Tabs LSD Blostters (200ug)","$ 179.00","http://wzvsz3g6dodj2fyh.onion/product/124"
35,"120 Tab LSD 200UG","$ 309.00","http://wzvsz3g6dodj2fyh.onion/product/121"
36,"High Quality Cocaine 1g","$ 169.00","http://wzvsz3g6dodj2fyh.onion/product/108"
37,"Master Kush Feminized X20 - Seeds Cannabis","$ 14.00","http://wzvsz3g6dodj2fyh.onion/product/96"
38,"30 Gram CRYSTAL METH/ SPEED","$ 299.00","http://wzvsz3g6dodj2fyh.onion/product/130"
39,"XTC pills mix 20 - SAMPLE PACK 30$","XTC pills mix 20 - SAMPLE PACK 30$","http://wzvsz3g6dodj2fyh.onion/product/115"
40,"5 Gram CRYSTAL METHS PURE","$ 59.00","http://wzvsz3g6dodj2fyh.onion/product/126"
41,"Mexican Sativa® X20 - Seeds Cannabis","$ 14.00","http://wzvsz3g6dodj2fyh.onion/product/95"
42,"Alaskan Thunder Fuck- Cannabis 100g","$ 349.00","http://wzvsz3g6dodj2fyh.onion/product/75"
43,"Double Gum X20 - Seeds Cannabis","$ 14.00","http://wzvsz3g6dodj2fyh.onion/product/91"
